Supplementary Table 12. Country-specific cumulative absolute risk for PGS strata across 19 phenotypes.,,,,,,,,,,,,
,,,,,,,,,,,,
Phenotype,Country,Sex,Study,Optimal Model,PGS Strata,Age,"Cumulative Absolute Risk 
(%)","Cumulative Absolute Risk  
Lower Confidence Interval
(%)","Cumulative Absolute Risk  
Upper Confidence Interval
(%)",,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,55,1.71,1.26,2.24,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,60,2.72,1.95,3.54,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,65,3.78,2.82,4.92,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,70,4.68,3.57,5.96,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,75,5.30,4.06,6.65,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,80-90%,80,5.53,4.26,6.90,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,35,0.10,0.05,0.16,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,40,0.28,0.15,0.42,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,45,0.65,0.42,0.87,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,50,1.28,0.80,1.80,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,55,2.22,1.61,2.92,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,60,3.53,2.45,4.68,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,65,4.89,3.50,6.40,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,70,6.05,4.50,7.76,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,75,6.84,5.12,8.68,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,90-95%,80,7.13,5.33,9.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,35,0.12,0.05,0.18,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,40,0.33,0.18,0.50,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,45,0.76,0.50,1.03,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,50,1.50,0.94,2.11,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,55,2.61,1.87,3.46,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,60,4.14,2.96,5.41,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,65,5.73,4.26,7.38,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,70,7.08,5.45,8.92,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,75,8.00,6.18,10.02,,,
Hip Osteoarthritis,Norway,Females,HUNT,Sex,> 95%,80,8.34,6.46,10.42,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,35,0.05,0.02,0.08,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,40,0.13,0.07,0.22,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,45,0.28,0.17,0.45,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,50,0.53,0.30,0.84,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,55,0.86,0.51,1.34,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,60,1.26,0.77,1.90,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,65,1.66,1.03,2.50,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,70,2.00,1.26,2.97,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,75,2.22,1.41,3.24,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,< 20%,80,2.30,1.45,3.33,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,35,0.05,0.02,0.09,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,40,0.15,0.08,0.25,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,45,0.33,0.19,0.51,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,50,0.62,0.36,0.97,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,55,1.01,0.62,1.52,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,60,1.48,0.92,2.19,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,65,1.95,1.27,2.92,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,70,2.35,1.53,3.46,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,75,2.61,1.70,3.82,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,20-40%,80,2.70,1.77,3.96,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,35,0.08,0.04,0.11,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,40,0.21,0.12,0.31,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,45,0.47,0.31,0.63,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,50,0.87,0.55,1.21,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,55,1.42,0.99,1.82,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,60,2.08,1.51,2.61,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,65,2.74,2.02,3.42,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,70,3.29,2.47,4.06,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,75,3.65,2.75,4.46,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,40-60%,80,3.79,2.88,4.61,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,35,0.11,0.05,0.18,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,40,0.31,0.16,0.48,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,45,0.66,0.43,0.95,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,50,1.25,0.75,1.85,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,55,2.02,1.37,2.81,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,60,2.96,2.04,4.10,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,65,3.89,2.73,5.27,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,70,4.66,3.27,6.27,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,75,5.17,3.69,6.90,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,60-80%,80,5.36,3.83,7.11,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,35,0.13,0.06,0.22,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,40,0.36,0.18,0.61,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,45,0.79,0.48,1.20,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,50,1.48,0.87,2.26,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,55,2.40,1.53,3.64,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,60,3.51,2.26,5.06,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,65,4.61,3.01,6.81,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,70,5.52,3.68,8.05,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,75,6.12,4.09,8.93,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,80-90%,80,6.35,4.25,9.16,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,35,0.16,0.07,0.29,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,40,0.45,0.22,0.76,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,45,0.97,0.54,1.59,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,50,1.83,0.95,3.02,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,55,2.96,1.73,4.83,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,60,4.33,2.44,6.87,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,65,5.67,3.33,8.75,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,70,6.78,4.04,10.42,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,75,7.52,4.52,11.26,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,90-95%,80,7.79,4.73,11.63,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,35,0.15,0.07,0.28,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,40,0.44,0.20,0.74,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,45,0.95,0.55,1.55,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,50,1.77,1.01,2.95,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,55,2.87,1.74,4.63,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,60,4.20,2.52,6.69,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,65,5.51,3.29,8.50,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,70,6.59,3.97,10.21,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,75,7.30,4.49,11.47,,,
Hip Osteoarthritis,United Kingdom,Males,Genomics England,Sex,> 95%,80,7.56,4.72,11.70,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,35,0.04,0.02,0.07,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,40,0.11,0.06,0.19,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,45,0.26,0.16,0.38,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,50,0.51,0.29,0.80,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,55,0.89,0.56,1.32,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,60,1.41,0.88,2.05,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,65,1.96,1.28,2.83,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,70,2.42,1.62,3.39,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,75,2.74,1.82,3.83,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,< 20%,80,2.85,1.92,3.96,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,35,0.07,0.03,0.11,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,40,0.19,0.10,0.31,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,45,0.43,0.26,0.65,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,50,0.86,0.50,1.28,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,55,1.49,1.00,2.11,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,60,2.37,1.58,3.38,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,65,3.28,2.22,4.56,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,70,4.05,2.87,5.60,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,75,4.57,3.27,6.16,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,20-40%,80,4.75,3.43,6.43,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,35,0.07,0.03,0.10,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,40,0.19,0.10,0.28,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,45,0.43,0.29,0.59,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,50,0.86,0.52,1.17,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,55,1.50,1.06,1.94,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,60,2.37,1.69,3.07,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,65,3.29,2.45,4.16,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,70,4.06,3.08,5.05,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,75,4.58,3.51,5.62,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,40-60%,80,4.77,3.68,5.83,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,35,0.08,0.04,0.12,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,40,0.22,0.12,0.34,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,45,0.51,0.31,0.71,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,50,1.00,0.59,1.41,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,55,1.75,1.17,2.39,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,60,2.77,1.86,3.77,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,65,3.83,2.60,5.16,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,70,4.73,3.29,6.22,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,75,5.34,3.78,7.03,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,60-80%,80,5.55,3.97,7.24,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,35,0.11,0.05,0.18,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,40,0.31,0.16,0.50,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,45,0.71,0.44,1.06,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,50,1.41,0.84,2.11,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,55,2.46,1.65,3.56,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,60,3.89,2.65,5.55,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,65,5.38,3.68,7.45,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,70,6.62,4.61,9.01,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,75,7.46,5.21,10.13,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,80-90%,80,7.75,5.46,10.44,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,35,0.12,0.05,0.20,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,40,0.33,0.17,0.56,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,45,0.76,0.45,1.20,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,50,1.51,0.84,2.46,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,55,2.63,1.63,3.98,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,60,4.16,2.61,6.11,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,65,5.75,3.62,8.36,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,70,7.07,4.47,10.34,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,75,7.96,5.19,11.38,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,90-95%,80,8.28,5.42,11.84,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,> 95%,5,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,> 95%,10,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,> 95%,15,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,> 95%,20,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,> 95%,25,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,> 95%,30,0.00,0.00,0.00,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,> 95%,35,0.13,0.06,0.23,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,> 95%,40,0.37,0.20,0.62,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,> 95%,45,0.85,0.49,1.34,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,> 95%,50,1.68,0.92,2.61,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,> 95%,55,2.92,1.83,4.30,,,
Hip Osteoarthritis,United Kingdom,Females,Genomics England,Sex,> 95%,60,4.61,2.96,6.71,,,
